sku,date,qty_actual,ExtraTrees_forecast,GradientBoosting_forecast,LSTM_forecast,RandomForest_forecast
4807788559593,2023-06-01,54.0,,,,
4807788559593,2023-07-01,60.0,,,,
4807788559593,2023-08-01,62.0,,,,
4807788559593,2023-09-01,31.0,,,,
4807788559593,2023-10-01,102.0,,,,
4807788559593,2023-11-01,56.0,,,,
4807788559593,2023-12-01,59.0,,,,
4807788559593,2024-01-01,160.0,,,,
4807788559593,2024-02-01,82.0,,,,
4807788559593,2024-03-01,45.0,,,,
4807788559593,2024-04-01,22.0,,,,
4807788559593,2024-05-01,50.0,,,,
4807788559593,2024-06-01,23.0,,,,
4807788559593,2024-07-01,77.0,,,,
4807788559593,2024-08-01,120.0,,,,
4807788559593,2024-09-01,33.0,,,,
4807788559593,2024-10-01,20.0,,,,
4807788559593,2024-11-01,18.0,,,,
4807788559593,2024-12-01,0.0,,,,
4807788559593,2025-01-01,10.0,,,,
4807788559593,2025-02-01,3.0,,,,
4807788560438,2022-05-01,53.0,,,,
4807788560438,2022-06-01,25.0,,,,
4807788560438,2022-07-01,25.0,,,,
4807788560438,2022-08-01,146.0,,,,
4807788560438,2022-09-01,51.0,,,,
4807788560438,2022-10-01,93.0,,,,
4807788560438,2022-11-01,76.0,,,,
4807788560438,2022-12-01,73.0,,,,
4807788560438,2023-01-01,110.0,,,,
4807788560438,2023-02-01,43.0,,,,
4807788560438,2023-03-01,44.0,,,,
4807788560438,2023-04-01,24.0,,,,
4807788560438,2023-05-01,76.0,,,,
4807788560438,2023-06-01,56.0,,,,
4807788560438,2023-07-01,42.0,,,,
4807788560438,2023-08-01,0.0,,,,
4807788560438,2023-09-01,80.0,,,,
4807788560438,2023-10-01,73.0,,,,
4807788560438,2023-11-01,92.0,,,,
4807788560438,2023-12-01,176.0,,,,
4807788560438,2024-01-01,148.0,,,,
4807788560438,2024-02-01,69.0,,,,
4807788560438,2024-03-01,13.0,,,,
4807788560438,2024-04-01,74.0,,,,
4807788560438,2024-05-01,48.0,,,,
4807788560438,2024-06-01,40.0,,,,
4807788560438,2024-07-01,16.0,,,,
4807788560438,2024-08-01,26.0,,,,
4807788560438,2024-09-01,74.0,,,,
4807788560438,2024-10-01,64.0,,,,
4807788560438,2024-11-01,66.0,,,,
4807788560438,2024-12-01,129.0,,,,
4807788560438,2025-01-01,0.0,,,,
4807788560438,2025-02-01,184.0,,,,
4807788560438,2025-03-01,32.0,,,,
4807788561688,2022-05-01,309.0,,,,
4807788561688,2022-06-01,510.0,,,,
4807788561688,2022-07-01,537.0,,,,
4807788561688,2022-08-01,598.0,,,,
4807788561688,2022-09-01,508.0,,,,
4807788561688,2022-10-01,697.0,,,,
4807788561688,2022-11-01,602.0,,,,
4807788561688,2022-12-01,383.0,,,,
4807788561688,2023-01-01,409.0,,,,
4807788561688,2023-02-01,571.0,,,,
4807788561688,2023-03-01,616.0,,,,
4807788561688,2023-04-01,246.0,,,,
4807788561688,2023-05-01,690.0,,,,
4807788561688,2023-06-01,1037.0,,,,
4807788561688,2023-07-01,569.0,,,,
4807788561688,2023-08-01,396.0,,,,
4807788561688,2023-09-01,705.0,,,,
4807788561688,2023-10-01,645.0,,,,
4807788561688,2023-11-01,350.0,,,,
4807788561688,2023-12-01,540.0,,,,
4807788561688,2024-01-01,800.0,,,,
4807788561688,2024-02-01,150.0,,,,
4807788561688,2024-03-01,164.0,,,,
4807788561688,2024-04-01,130.0,,,,
4807788561688,2024-05-01,52.0,,,,
4807788561688,2024-06-01,264.0,,,,
4807788561688,2024-07-01,137.0,,,,
4807788561688,2024-08-01,314.0,,,,
4807788561688,2024-09-01,1168.0,,,,
4807788561688,2024-10-01,182.0,,,,
4807788561688,2024-11-01,778.0,,,,
4807788561688,2024-12-01,667.0,,,,
4807788561688,2025-01-01,700.0,,,,
4807788561688,2025-02-01,372.0,,,,
4807788561688,2025-03-01,249.0,,,,
4807788561688,2025-04-01,,232.6770804065564,230.87953323720623,356.85213051519395,232.2317522493841
4807788561688,2025-05-01,,144.91011963310132,152.84884874932683,259.26533699990506,166.24734416484364
4807788561688,2025-06-01,,300.95152615025813,295.55233818997925,428.8414374793768,303.31144357649504
4807788561688,2025-07-01,,188.1227940511716,200.8103605365285,352.36399378939865,204.6675026250696
4807788561688,2025-08-01,,319.4599709535851,340.4013978947148,485.2629102394581,334.81952829141323
4807788561688,2025-09-01,,965.291334361418,975.7398476021116,1138.5347945972082,978.4790438225068
4807788562593,2022-05-01,164.0,,,,
4807788562593,2022-06-01,34.0,,,,
4807788562593,2022-07-01,186.0,,,,
4807788562593,2022-08-01,117.0,,,,
4807788562593,2022-09-01,103.0,,,,
4807788562593,2022-10-01,505.0,,,,
4807788562593,2022-11-01,358.0,,,,
4807788562593,2022-12-01,243.0,,,,
4807788562593,2023-01-01,207.0,,,,
4807788562593,2023-02-01,125.0,,,,
4807788562593,2023-03-01,192.0,,,,
4807788562593,2023-04-01,36.0,,,,
4807788562593,2023-05-01,157.0,,,,
4807788562593,2023-06-01,135.0,,,,
4807788562593,2023-07-01,70.0,,,,
4807788562593,2023-08-01,117.0,,,,
4807788562593,2023-09-01,123.0,,,,
4807788562593,2023-10-01,215.0,,,,
4807788562593,2023-11-01,166.0,,,,
4807788562593,2023-12-01,261.0,,,,
4807788562593,2024-01-01,307.0,,,,
4807788562593,2024-02-01,386.0,,,,
4807788562593,2024-03-01,261.0,,,,
4807788562593,2024-04-01,260.0,,,,
4807788562593,2024-05-01,259.0,,,,
4807788562593,2024-06-01,139.0,,,,
4807788562593,2024-07-01,281.0,,,,
4807788562593,2024-08-01,152.0,,,,
4807788562593,2024-09-01,32.0,,,,
4807788562593,2024-10-01,118.0,,,,
4807788562593,2024-11-01,100.0,,,,
4807788562593,2024-12-01,25.0,,,,
4807788562593,2025-01-01,206.0,,,,
4807788562593,2025-02-01,110.0,,,,
4807788562593,2025-03-01,60.0,,,,
4807788562593,2025-04-01,,45.52476947178298,45.354023893792174,123.1822356383502,107.73829822752006
4807788562593,2025-05-01,,93.98679820369792,86.33055920387062,116.72599093118303,119.36346701424704
4807788562593,2025-06-01,,103.2691456753748,86.77876023678652,121.6957085012793,126.29876677792068
4807788562593,2025-07-01,,93.3969332598457,81.63677379877879,133.67747230523818,129.90225276216376
4807788562593,2025-08-01,,95.07587188792648,91.797068882732,134.63205209955566,132.05243055087342
4807788562593,2025-09-01,,101.83817623444892,96.37269283155436,137.11176501822465,132.40913891113254
4807788562630,2022-05-01,15.0,,,,
4807788562630,2022-06-01,99.0,,,,
4807788562630,2022-07-01,15.0,,,,
4807788562630,2022-08-01,34.0,,,,
4807788562630,2022-09-01,37.0,,,,
4807788562630,2022-10-01,51.0,,,,
4807788562630,2022-11-01,100.0,,,,
4807788562630,2022-12-01,60.0,,,,
4807788562630,2023-01-01,70.0,,,,
4807788562630,2023-02-01,10.0,,,,
4807788562630,2023-03-01,123.0,,,,
4807788562630,2023-04-01,93.0,,,,
4807788562630,2023-05-01,83.0,,,,
4807788562630,2023-06-01,93.0,,,,
4807788562630,2023-07-01,14.0,,,,
4807788562630,2023-08-01,295.0,,,,
4807788562630,2023-09-01,79.0,,,,
4807788562630,2023-10-01,57.0,,,,
4807788562630,2023-11-01,110.0,,,,
4807788562630,2023-12-01,95.0,,,,
4807788562630,2024-01-01,89.0,,,,
4807788562630,2024-02-01,82.0,,,,
4807788562630,2024-03-01,128.0,,,,
4807788562630,2024-04-01,69.0,,,,
4807788562630,2024-05-01,120.0,,,,
4807788562630,2024-06-01,155.0,,,,
4807788562630,2024-07-01,9.0,,,,
4807788562630,2024-08-01,45.0,,,,
4807788562630,2024-09-01,75.0,,,,
4807788562630,2024-10-01,71.0,,,,
4807788562630,2024-11-01,28.0,,,,
4807788562630,2024-12-01,5.0,,,,
4807788562630,2025-01-01,125.0,,,,
4807788562630,2025-02-01,171.0,,,,
4807788562630,2025-03-01,150.0,,,,
4809013625080,2022-05-01,82.0,,,,
4809013625080,2022-06-01,167.0,,,,
4809013625080,2022-07-01,91.0,,,,
4809013625080,2022-08-01,138.0,,,,
4809013625080,2022-09-01,154.0,,,,
4809013625080,2022-10-01,203.0,,,,
4809013625080,2022-11-01,108.0,,,,
4809013625080,2022-12-01,112.0,,,,
4809013625080,2023-01-01,68.0,,,,
4809013625080,2023-02-01,74.0,,,,
4809013625080,2023-03-01,62.0,,,,
4809013625080,2023-04-01,5.0,,,,
4809013625080,2023-05-01,10.0,,,,
4809013625080,2023-06-01,0.0,,,,
4809013625080,2023-07-01,107.0,,,,
4809013625080,2023-08-01,11.0,,,,
4809013625080,2023-09-01,124.0,,,,
4809013625080,2023-10-01,81.0,,,,
4809013625080,2023-11-01,43.0,,,,
4809013625080,2023-12-01,88.0,,,,
4809013625080,2024-01-01,100.0,,,,
4809013625080,2024-02-01,136.0,,,,
4809013625080,2024-03-01,150.0,,,,
4809013625080,2024-04-01,109.0,,,,
4809013625080,2024-05-01,124.0,,,,
4809013625080,2024-06-01,142.0,,,,
4809013625080,2024-07-01,132.0,,,,
4809013625080,2024-08-01,105.0,,,,
4809013625080,2024-09-01,104.0,,,,
4809013625080,2024-10-01,155.0,,,,
4809013625080,2024-11-01,209.0,,,,
4809013625080,2024-12-01,170.0,,,,
4809013625080,2025-01-01,134.0,,,,
4809013625080,2025-02-01,50.0,,,,
4809013625080,2025-03-01,75.0,,,,
4809015142035,2022-07-01,15.0,,,,
4809015142035,2022-08-01,0.0,,,,
4809015142035,2022-09-01,0.0,,,,
4809015142035,2022-10-01,0.0,,,,
4809015142035,2022-11-01,26.0,,,,
4809015142035,2022-12-01,86.0,,,,
4809015142035,2023-01-01,189.0,,,,
4809015142035,2023-02-01,228.0,,,,
4809015142035,2023-03-01,374.0,,,,
4809015142035,2023-04-01,329.0,,,,
4809015142035,2023-05-01,207.0,,,,
4809015142035,2023-06-01,245.0,,,,
4809015142035,2023-07-01,157.0,,,,
4809015142035,2023-08-01,154.0,,,,
4809015142035,2023-09-01,160.0,,,,
4809015142035,2023-10-01,167.0,,,,
4809015142035,2023-11-01,165.0,,,,
4809015142035,2023-12-01,310.0,,,,
4809015142035,2024-01-01,204.0,,,,
4809015142035,2024-02-01,176.0,,,,
4809015142035,2024-03-01,98.0,,,,
4809015142035,2024-04-01,292.0,,,,
4809015142035,2024-05-01,124.0,,,,
4809015142035,2024-06-01,110.0,,,,
4809015142035,2024-07-01,113.0,,,,
4809015142035,2024-08-01,55.0,,,,
4809015142035,2024-09-01,110.0,,,,
4809015142035,2024-10-01,118.0,,,,
4809015142035,2024-11-01,0.0,,,,
4809015142035,2024-12-01,22.0,,,,
54021235,2023-03-01,370.0,,,,
54021235,2023-04-01,554.0,,,,
54021235,2023-05-01,176.0,,,,
54021235,2023-06-01,900.0,,,,
54021235,2023-07-01,342.0,,,,
54021235,2023-08-01,488.0,,,,
69853920,2022-09-01,185.0,,,,
69853920,2022-10-01,320.0,,,,
