month,category,total_sales,total_qty
2023-05,ELECTRONIC MEDICAL DEVICES,9398.92,14.0
2023-05,FOOD,183.6,3.0
2023-05,FOOD SUPPLEMENTS,3392.4,159.0
2023-05,GALENICALS AND SOLUTIONS,3902.55,70.0
2023-05,GIT,22816.3,969.0
2023-05,GUT AND HORMONES,30114.35,859.0
2023-05,HAIR CARE,656.5,12.0
2023-05,HOME REMEDY,4079.2,50.0
2023-05,MANUAL MEDICAL DEVICES,2160.0,2.0
2023-05,NEEDLES AND TUBINGS,1036.29,52.0
2023-05,NEUROLOGICAL DRUGS,2935.95,145.0
2023-05,ORAL CARE,3921.17,51.0
2023-05,ORTHO SUPPORT,794.0,13.0
2023-05,PAIN MANAGEMENT,50076.86,3034.0
2023-05,PEDIATRIC MILK,353.0,2.0
2023-05,PERSONAL PROTECTIVE EQUIPMENT,3350.62,19.0
2023-05,"PLASTIC, GLASSWARE, AND STAINLESS",1180.8,14.0
2023-05,PROMO PACKS,1969.27,63.0
2023-05,RESPIRATORY,55282.9,2072.0
2023-05,SKIN AND BODY,9054.86,145.0
2023-05,SPECIAL CATEGORY 1,1142.02,50.0
2023-05,VITAMINS,49479.21,2658.0
2023-05,WOUND CARE,1271.84,220.0
2023-06,ADULT MILK,21117.79,189.0
2023-06,ANTIBIOTICS,37199.19,1283.0
2023-06,ANTIDIABETICS,23491.18,1252.0
2023-06,ASSISTIVE DEVICE,39645.01,11.0
2023-06,BEVERAGES,6545.0,232.0
2023-06,CARDIOVASCULAR,44097.4,4190.0
2023-06,COTTONS AND HYGIENE,6807.8,164.0
2023-06,DERMATOLOGICALS,5218.43,43.0
2023-06,DIAGNOSTIC,476.0,15.0
2023-06,DIAPERS,16659.82,79.0
2023-06,DISINFECTANT,6064.25,55.0
2023-06,DISPOSABLES,4470.8,113.0
2023-06,EENT,5572.81,21.0
2023-06,ELECTRONIC MEDICAL DEVICES,8566.14,11.0
2023-06,FOOD,189.0,7.0
2023-06,FOOD SUPPLEMENTS,3801.25,240.0
2023-06,GALENICALS AND SOLUTIONS,3706.04,72.0
2023-06,GIT,18390.05,643.0
2023-06,GUT AND HORMONES,47754.1,1545.0
2023-06,HAIR CARE,750.9,12.0
2023-06,HOME REMEDY,2410.65,30.0
2023-06,HOUSEHOLD CHEMICALS,820.0,2.0
2023-06,NEEDLES AND TUBINGS,2445.86,90.0
2023-06,NEUROLOGICAL DRUGS,2239.28,113.0
2023-06,ORAL CARE,3204.0,45.0
2023-06,ORTHO SUPPORT,3946.0,25.0
2023-06,PAIN MANAGEMENT,45863.49,3308.0
2023-06,PEDIATRIC MILK,252.0,1.0
2023-06,PERSONAL PROTECTIVE EQUIPMENT,3268.5199999999995,18.0
2023-06,"PLASTIC, GLASSWARE, AND STAINLESS",601.9000000000001,8.0
2023-06,PROMO PACKS,2255.06,122.0
2023-06,RESPIRATORY,57093.55,1596.0
2023-06,SKIN AND BODY,9007.2,156.0
2023-06,SPECIAL CATEGORY 1,229.15,38.0
2023-06,VITAMINS,52720.17,3409.0
2023-06,WOUND CARE,965.15,102.0
2023-07,ADULT MILK,12248.46,212.0
2023-07,ANTIBIOTICS,47610.84,1943.0
2023-07,ANTIDIABETICS,17915.670000000002,712.0
2023-07,ASSISTIVE DEVICE,45506.96,19.0
2023-07,BEVERAGES,7656.5,257.0
2023-07,CARDIOVASCULAR,49813.42,4444.0
2023-07,COTTONS AND HYGIENE,8759.5,190.0
2023-07,DERMATOLOGICALS,6448.41,48.0
2023-07,DIAGNOSTIC,388.0,14.0
2023-07,DIAPERS,20292.9,105.0
2023-07,DISINFECTANT,5663.3,66.0
2023-07,DISPOSABLES,5863.0199999999995,135.0
2023-07,EENT,1951.75,13.0
2023-07,ELECTRONIC MEDICAL DEVICES,13319.16,27.0
2023-07,FOOD,108.0,4.0
2023-07,FOOD SUPPLEMENTS,4475.03,238.0
2023-07,GALENICALS AND SOLUTIONS,3858.03,70.0
2023-07,GIT,19093.84,784.0
2023-07,GUT AND HORMONES,35859.8,1046.0
2023-07,HAIR CARE,257.5,5.0
2023-07,HOME REMEDY,3842.95,60.0
2023-07,HOUSEHOLD CHEMICALS,820.0,2.0
2023-07,MANUAL MEDICAL DEVICES,2280.0,2.0
2023-07,MEMBERS EXCLUSIVE,241.5,23.0
2023-07,NEEDLES AND TUBINGS,987.98,61.0
2023-07,NEUROLOGICAL DRUGS,906.8,36.0
2023-07,ORAL CARE,5041.0,67.0
2023-07,ORTHO SUPPORT,5164.5,55.0
2023-07,PAIN MANAGEMENT,34169.44,2641.0
2023-07,PEDIATRIC MILK,394.5,2.0
2023-07,PERSONAL PROTECTIVE EQUIPMENT,1812.62,22.0
2023-07,"PLASTIC, GLASSWARE, AND STAINLESS",1215.4,12.0
2023-07,PROMO PACKS,2131.0,92.0
2023-07,RESPIRATORY,51098.37,1826.0
2023-07,SKIN AND BODY,8642.99,156.0
2023-07,SPECIAL CATEGORY 1,299.2,9.0
2023-07,VITAMINS,43609.06,2754.0
